City,Date,Year,Month Name,Day,Season,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,AQI,AQI_Bucket
Ahmedabad,05/03/2015,2015,March,5,Summer,,,42.27,,,,59.39,,450,Severe
Ahmedabad,08/03/2015,2015,March,8,Summer,71.56,3.51,16.83,20.32,,,57.16,3.95,190,Moderate
Ahmedabad,09/03/2015,2015,March,9,Summer,119.8,4.13,24.07,27.9,,,50.49,4.85,233,Poor
Ahmedabad,10/03/2015,2015,March,10,Summer,106.71,5.39,25.59,30.51,,,60.17,5.58,297,Poor
Ahmedabad,11/03/2015,2015,March,11,Summer,118.49,4.11,28.94,31.83,,,53.61,,330,Very Poor
Ahmedabad,12/03/2015,2015,March,12,Summer,106.01,4.28,27.31,30.54,,,40.91,,252,Poor
Ahmedabad,13/03/2015,2015,March,13,Summer,97.34,3.67,21.58,24.62,,,45.69,5.61,244,Poor
Ahmedabad,14/03/2015,2015,March,14,Summer,83.92,6.42,25.03,30.8,,,34.94,,234,Poor
Ahmedabad,15/03/2015,2015,March,15,Summer,49.51,3.1,14.16,16.15,,,37.95,4.34,219,Poor
Ahmedabad,16/03/2015,2015,March,16,Summer,30.76,2.72,14.14,16.98,2.72,,54.78,3.58,118,Moderate
Ahmedabad,17/03/2015,2015,March,17,Summer,50.29,5.34,29.84,33.28,,,45.44,5.45,231,Poor
Ahmedabad,18/03/2015,2015,March,18,Summer,57.69,25.36,29.48,54.79,,,52.87,,286,Poor
Ahmedabad,19/03/2015,2015,March,19,Summer,105.06,,37.05,,,,45.65,,450,Severe
Ahmedabad,20/03/2015,2015,March,20,Summer,94.1,22.14,36.53,57.49,,,46.77,,450,Severe
Ahmedabad,21/03/2015,2015,March,21,Summer,111.89,22.25,43.29,64.53,,,50.57,,450,Severe
Ahmedabad,22/03/2015,2015,March,22,Summer,108.59,25.38,39.34,63.01,,,46.68,,450,Severe
Ahmedabad,23/03/2015,2015,March,23,Summer,130.76,,41.03,,,,41.58,,450,Severe
Ahmedabad,24/03/2015,2015,March,24,Summer,143.55,27.3,31.15,57.16,,,35.38,,450,Severe
Ahmedabad,25/03/2015,2015,March,25,Summer,,23.83,34.48,57.71,,,43.79,,450,Severe
Ahmedabad,26/03/2015,2015,March,26,Summer,,17.93,43.3,60.07,,,53.44,,450,Severe
Ahmedabad,27/03/2015,2015,March,27,Summer,147.38,6.4,35.82,40.22,,,17.94,,450,Severe
Ahmedabad,28/03/2015,2015,March,28,Summer,158.25,5.86,27.89,32.65,,,38.54,,321,Very Poor
Ahmedabad,29/03/2015,2015,March,29,Summer,,4.99,21.8,25.37,,,39.77,,372,Very Poor
Ahmedabad,30/03/2015,2015,March,30,Summer,133.37,3.88,17.99,21.02,,,39.66,5.76,339,Very Poor
Ahmedabad,31/03/2015,2015,March,31,Summer,133.3,6.52,20,26.18,,,59.03,,339,Very Poor
Ahmedabad,01/04/2015,2015,April,1,Summer,96.04,3.8,20.07,23.46,,,46.61,,324,Very Poor
Ahmedabad,02/04/2015,2015,April,2,Summer,77.69,5.24,18.87,23.06,,,27.14,,222,Poor
Ahmedabad,03/04/2015,2015,April,3,Summer,53.07,4.17,13.82,17.45,,,21.76,4.47,169,Moderate
Ahmedabad,04/04/2015,2015,April,4,Summer,63.11,5.63,15.5,18.49,,,4.72,5.2,220,Poor
Ahmedabad,06/04/2015,2015,April,6,Summer,120.96,4.23,20.86,25.02,,,35.66,6.05,303,Very Poor
Ahmedabad,07/04/2015,2015,April,7,Summer,138.63,5.65,25.47,30.67,,,29.77,,314,Very Poor
Ahmedabad,08/04/2015,2015,April,8,Summer,144.36,15.82,30.69,46.1,,,27.34,,378,Very Poor
Ahmedabad,09/04/2015,2015,April,9,Summer,85.03,3.3,26.7,27.41,,,35.89,,450,Severe
Ahmedabad,11/04/2015,2015,April,11,Summer,61.06,3.52,14.03,17.59,,8.08,19.54,0,126,Moderate
Ahmedabad,12/04/2015,2015,April,12,Summer,39.42,5.28,19.56,24.66,,17.66,31.3,0,175,Moderate
Ahmedabad,13/04/2015,2015,April,13,Summer,111.86,3.89,22.51,25.17,,15.84,31.23,0,226,Poor
Ahmedabad,14/04/2015,2015,April,14,Summer,58.37,5.74,21.71,27.69,,25.9,43.92,2.15,244,Poor
Ahmedabad,15/04/2015,2015,April,15,Summer,95.37,18.01,26.23,44.34,,13.59,41.64,1.21,315,Very Poor
Ahmedabad,16/04/2015,2015,April,16,Summer,141.3,30.8,36.88,66.53,,,37.66,0.66,450,Severe
Ahmedabad,17/04/2015,2015,April,17,Summer,106.68,19.91,46.38,54.77,,,48.49,1.67,450,Severe
Ahmedabad,18/04/2015,2015,April,18,Summer,109.48,4.3,20.27,22.86,,,31.34,0.05,285,Poor
Ahmedabad,19/04/2015,2015,April,19,Summer,126.04,6.99,20.18,26.78,,,28.71,0.2,321,Very Poor
Ahmedabad,20/04/2015,2015,April,20,Summer,71.22,16.73,21.32,37.58,,,28.39,1.38,358,Very Poor
Ahmedabad,21/04/2015,2015,April,21,Summer,97.87,6.3,17.96,23.45,,13.85,34.16,0.21,357,Very Poor
Ahmedabad,22/04/2015,2015,April,22,Summer,63.38,3.44,13.28,15.44,,24.79,43.62,0,189,Moderate
Ahmedabad,24/04/2015,2015,April,24,Summer,80.9,5.7,18.62,24.23,,,22.8,0.05,214,Poor
Ahmedabad,25/04/2015,2015,April,25,Summer,103.29,4.55,19.82,23.69,,,22.18,0.06,253,Poor
Ahmedabad,26/04/2015,2015,April,26,Summer,107.5,5.29,15.56,19.73,,,10.12,0.09,239,Poor
Ahmedabad,29/04/2015,2015,April,29,Summer,138.42,5.05,16.7,21.56,,,27.18,0.01,300,Poor
Ahmedabad,30/04/2015,2015,April,30,Summer,129.04,5.69,14.86,19.66,,,18.67,0,317,Very Poor
Ahmedabad,01/05/2015,2015,May,1,Summer,96.65,4.67,15.9,20.53,,,11.83,0.01,240,Poor
Ahmedabad,02/05/2015,2015,May,2,Summer,126.77,15.69,23.93,39.73,,,36.71,0.22,344,Very Poor
Ahmedabad,03/05/2015,2015,May,3,Summer,106.15,13.12,23.02,35.05,,,81.6,0.3,450,Severe
Ahmedabad,04/05/2015,2015,May,4,Summer,86.31,2.69,10.5,10.9,2.69,,,0.47,308,Very Poor
Ahmedabad,05/05/2015,2015,May,5,Summer,83.99,2.73,0.08,2.75,2.73,,69.57,0.28,227,Poor
Ahmedabad,06/05/2015,2015,May,6,Summer,65.11,3.14,4.58,6.75,,22.27,32.26,0.17,120,Moderate
Ahmedabad,07/05/2015,2015,May,7,Summer,51.03,6.24,20.47,26.2,,15.5,31.44,0,158,Moderate
Ahmedabad,08/05/2015,2015,May,8,Summer,38.73,8,19.28,26.61,,20.13,25.7,0,177,Moderate
Ahmedabad,09/05/2015,2015,May,9,Summer,61.12,9.94,17.82,27.18,,,25.9,0,201,Poor
Ahmedabad,10/05/2015,2015,May,10,Summer,58.44,10.68,17.24,27.38,,,18.89,0,211,Poor
Ahmedabad,11/05/2015,2015,May,11,Summer,61.49,11.44,16.69,27.61,,,18.2,0.01,221,Poor
Ahmedabad,12/05/2015,2015,May,12,Summer,65.39,12.3,16.08,27.86,,27.96,22.35,0,233,Poor
Ahmedabad,13/05/2015,2015,May,13,Summer,100.92,20.42,18.9,37.83,,,22.84,4.9,450,Severe
Ahmedabad,14/05/2015,2015,May,14,Summer,97.48,5.31,30.02,33.62,,,16.26,,352,Very Poor
Ahmedabad,15/05/2015,2015,May,15,Summer,129.27,14.28,28.33,41.92,,,25.4,,327,Very Poor
Ahmedabad,16/05/2015,2015,May,16,Summer,129.58,21.23,28.79,45.4,,17.66,34.42,,450,Severe
Ahmedabad,17/05/2015,2015,May,17,Summer,100.57,7.56,18.79,24.33,,,38.83,4.92,450,Severe
Ahmedabad,18/05/2015,2015,May,18,Summer,130.34,7.14,17.43,23.72,,,29.05,5.05,212,Poor
Ahmedabad,19/05/2015,2015,May,19,Summer,53.24,8.05,15.86,23.34,,,21.58,5.23,280,Poor
Ahmedabad,20/05/2015,2015,May,20,Summer,42,10.44,18.16,21.8,,17,25.5,0,162,Moderate
Ahmedabad,22/05/2015,2015,May,22,Summer,83.69,10.89,17.18,27.15,,,35.61,,450,Severe
Ahmedabad,23/05/2015,2015,May,23,Summer,38.88,2.18,16.28,17.74,2.18,26.4,12.47,3,128,Moderate
Ahmedabad,24/05/2015,2015,May,24,Summer,46.89,2.96,16.17,18.49,,,10.74,3.41,129,Moderate
Ahmedabad,25/05/2015,2015,May,25,Summer,70.96,4.12,15.47,19.28,,23.67,16.01,3.72,152,Moderate
Ahmedabad,26/05/2015,2015,May,26,Summer,53.66,4.23,14.43,18.06,,14.46,45.64,2.39,176,Moderate
Ahmedabad,27/05/2015,2015,May,27,Summer,45.49,4.26,13.73,17.1,,12.85,71.85,2.5,167,Moderate
Ahmedabad,28/05/2015,2015,May,28,Summer,60.86,5.27,16.61,21.42,,14.91,41.19,3.03,106,Moderate
Ahmedabad,29/05/2015,2015,May,29,Summer,51.93,13.71,17.87,31.64,,15.33,12.88,6.32,231,Poor
Ahmedabad,30/05/2015,2015,May,30,Summer,77.87,6.67,17.12,23,,,16.67,4.79,327,Very Poor
Ahmedabad,31/05/2015,2015,May,31,Summer,57.59,5.6,15.47,20.42,,,25.51,2.64,174,Moderate
Ahmedabad,01/06/2015,2015,June,1,Monsoon,77.22,7.02,15.47,21.13,,,9.56,3.74,185,Moderate
Ahmedabad,02/06/2015,2015,June,2,Monsoon,45.29,7.25,12.74,19.66,,18.64,6.32,2.73,179,Moderate
Ahmedabad,03/06/2015,2015,June,3,Monsoon,103.78,6.36,13.9,19.86,,7.76,15.27,0.82,211,Poor
Ahmedabad,04/06/2015,2015,June,4,Monsoon,25.14,6.01,18.73,24.74,,,38.52,0,192,Moderate
Ahmedabad,05/06/2015,2015,June,5,Monsoon,87.03,8.05,17.88,25.53,,23.84,48.22,0,310,Very Poor
Ahmedabad,06/06/2015,2015,June,6,Monsoon,89.6,6.59,19.84,25.9,,,44.78,0,223,Poor
Ahmedabad,07/06/2015,2015,June,7,Monsoon,80.69,6.86,16.07,22.25,,,32.65,0,192,Moderate
Ahmedabad,08/06/2015,2015,June,8,Monsoon,44.75,7.76,16.53,24.29,,9.89,8.07,0,191,Moderate
Ahmedabad,09/06/2015,2015,June,9,Monsoon,38.11,7.41,11.62,19.03,,3.13,6.69,2.5,184,Moderate
Ahmedabad,10/06/2015,2015,June,10,Monsoon,45.5,8.56,15.59,24.15,,0.76,3.82,5.09,220,Poor
Ahmedabad,11/06/2015,2015,June,11,Monsoon,36.98,8.21,11.52,19.74,,0.52,5.17,3.63,215,Poor
Ahmedabad,12/06/2015,2015,June,12,Monsoon,43.58,8.26,13.33,21.58,,1.02,7.56,3.59,226,Poor
Ahmedabad,13/06/2015,2015,June,13,Monsoon,45.49,9.63,14.91,24.53,,0.81,2.94,3.67,251,Poor
Ahmedabad,14/06/2015,2015,June,14,Monsoon,38.06,8.67,18.57,27.25,,1.05,4.63,2.85,216,Poor
Ahmedabad,15/06/2015,2015,June,15,Monsoon,45.41,9.35,20.55,29.9,,0.74,4.5,2.83,237,Poor
Ahmedabad,16/06/2015,2015,June,16,Monsoon,37.71,8.54,16.26,24.8,,0.87,4.6,2.52,198,Moderate
Ahmedabad,17/06/2015,2015,June,17,Monsoon,32.37,7.53,14.36,21.89,,2.17,12.17,1.88,195,Moderate
Ahmedabad,18/06/2015,2015,June,18,Monsoon,34.74,7.59,13.51,21.11,,4.11,12.22,1.82,187,Moderate
Ahmedabad,19/06/2015,2015,June,19,Monsoon,32.56,7.34,13.91,21.25,,4.04,11.85,2.55,181,Moderate
Ahmedabad,20/06/2015,2015,June,20,Monsoon,29.28,7.55,11.68,19.23,,4.01,12.64,1.64,179,Moderate
Ahmedabad,21/06/2015,2015,June,21,Monsoon,20.46,7.15,10.61,17.76,,5.62,12.7,1.26,188,Moderate
Ahmedabad,22/06/2015,2015,June,22,Monsoon,26.07,7.99,11.07,19.06,,4.1,10.57,1.5,190,Moderate
Ahmedabad,23/06/2015,2015,June,23,Monsoon,21.43,7.45,11.16,18.62,,4.99,7.38,1.4,185,Moderate
Ahmedabad,24/06/2015,2015,June,24,Monsoon,11.91,7.34,10.1,17.44,,10.86,5.47,1.3,189,Moderate
Ahmedabad,25/06/2015,2015,June,25,Monsoon,57.75,8.68,9.68,18.36,,12.28,3.06,1.98,196,Moderate
Ahmedabad,26/06/2015,2015,June,26,Monsoon,66.39,8.58,12.79,21.36,,11.09,4.96,1.76,201,Poor
Ahmedabad,27/06/2015,2015,June,27,Monsoon,62.61,9.15,9.83,18.98,,12.31,6.44,1.87,231,Poor
Ahmedabad,28/06/2015,2015,June,28,Monsoon,47.5,8.07,9.53,17.59,,13.91,7.28,1.34,196,Moderate
Ahmedabad,29/06/2015,2015,June,29,Monsoon,111.8,9.23,11.51,20.74,,5.27,5.99,1.84,220,Poor
Ahmedabad,30/06/2015,2015,June,30,Monsoon,30,8.87,13.59,22.64,,8.09,6.31,1.32,244,Poor
Ahmedabad,01/07/2015,2015,July,1,Monsoon,4.66,9.01,10.9,20.36,,7.31,6.38,1.27,223,Poor
Ahmedabad,02/07/2015,2015,July,2,Monsoon,48.72,9.56,11.94,21.5,,5.72,6.61,1.77,230,Poor
Ahmedabad,03/07/2015,2015,July,3,Monsoon,49.7,9.43,9.81,19.23,,6.78,6.42,2,243,Poor
Ahmedabad,04/07/2015,2015,July,4,Monsoon,48.1,8.03,9.53,17.57,,9.33,7.6,1.68,215,Poor
Ahmedabad,05/07/2015,2015,July,5,Monsoon,47.43,8.11,9.45,17.56,,7.93,7.08,2.1,199,Moderate
Ahmedabad,06/07/2015,2015,July,6,Monsoon,51.74,8.91,12.38,21.28,,10.05,5.78,2.15,200,Moderate
Ahmedabad,07/07/2015,2015,July,7,Monsoon,42.68,9.74,11.08,20.82,,10.87,4.44,1.62,226,Poor
Ahmedabad,08/07/2015,2015,July,8,Monsoon,38.45,10.55,7.8,18.35,,10.28,3.24,2.46,241,Poor
Ahmedabad,09/07/2015,2015,July,9,Monsoon,46.69,11.48,0.17,11.64,,10.25,5.76,1.77,222,Poor
Ahmedabad,10/07/2015,2015,July,10,Monsoon,55.27,11.55,0.12,11.66,,12.7,6.55,1.69,223,Poor
Ahmedabad,11/07/2015,2015,July,11,Monsoon,149.03,11.49,0.16,11.65,,10.07,7.27,1.71,248,Poor
Ahmedabad,12/07/2015,2015,July,12,Monsoon,86.57,11.47,0.17,11.64,,11.09,6.53,1.57,300,Poor
Ahmedabad,13/07/2015,2015,July,13,Monsoon,111.77,11.3,0.24,11.53,,7.73,4.67,1.72,232,Poor
Ahmedabad,14/07/2015,2015,July,14,Monsoon,151.4,10.8,0.36,11.16,,7.8,5.46,0.95,330,Very Poor
Ahmedabad,15/07/2015,2015,July,15,Monsoon,51.35,8,2.69,10.67,,10,5.76,1.54,223,Poor
Ahmedabad,16/07/2015,2015,July,16,Monsoon,65.37,0.64,8.07,8.57,0.64,16.31,8.02,1.63,105,Moderate
Ahmedabad,17/07/2015,2015,July,17,Monsoon,56.28,0.6,8.02,8.51,0.6,18.93,6.2,1.52,101,Moderate
Ahmedabad,18/07/2015,2015,July,18,Monsoon,48.17,0.65,8,8.55,0.65,18.99,7.97,1.23,93,Satisfactory
Ahmedabad,19/07/2015,2015,July,19,Monsoon,33.56,0.72,7.89,8.56,0.72,11.28,10.18,0.61,67,Satisfactory
Ahmedabad,20/07/2015,2015,July,20,Monsoon,31.3,0.55,8.1,8.49,0.55,10.29,7.44,0.52,60,Satisfactory
Ahmedabad,22/07/2015,2015,July,22,Monsoon,57.11,0.55,8.28,8.42,0.55,14.58,2.6,2.81,90,Satisfactory
Ahmedabad,23/07/2015,2015,July,23,Monsoon,34.72,0.1,9.73,7.88,0.1,13.62,4.87,1.44,78,Satisfactory
Ahmedabad,24/07/2015,2015,July,24,Monsoon,29.22,0.06,9.57,7.77,0.06,13.58,5.08,1.37,48,Good
Ahmedabad,25/07/2015,2015,July,25,Monsoon,29.79,0.14,8.64,7.97,0.14,15.11,5.34,0.36,53,Satisfactory
Ahmedabad,26/07/2015,2015,July,26,Monsoon,59.95,0.18,8.78,8.16,0.18,11.52,2.79,0.52,91,Satisfactory
Ahmedabad,27/07/2015,2015,July,27,Monsoon,19.2,1.52,9.45,9.74,1.52,11.23,4.61,1.29,70,Satisfactory
Ahmedabad,28/07/2015,2015,July,28,Monsoon,19.52,5.89,11.26,17.15,,11.56,4.4,0.58,157,Moderate
Ahmedabad,29/07/2015,2015,July,29,Monsoon,35.16,5.75,10.89,16.64,,14.7,3.67,1.61,158,Moderate
Ahmedabad,30/07/2015,2015,July,30,Monsoon,33.03,7.01,10.58,17.58,,12.95,3.53,1.65,169,Moderate
Ahmedabad,31/07/2015,2015,July,31,Monsoon,40.95,6.92,10.47,17.39,,19.8,3.38,2.05,174,Moderate
Ahmedabad,01/08/2015,2015,August,1,Monsoon,40.29,6.74,10.52,17.26,,8.27,3.57,1.85,173,Moderate
Ahmedabad,02/08/2015,2015,August,2,Monsoon,41.16,6.91,10.51,17.42,,13.48,3.69,1.8,172,Moderate
Ahmedabad,03/08/2015,2015,August,3,Monsoon,36.12,7.21,11.56,17.07,,13.62,6.08,1.67,190,Moderate
Ahmedabad,04/08/2015,2015,August,4,Monsoon,28.51,6.69,20.52,27.21,,5.69,7.65,1.36,171,Moderate
Ahmedabad,05/08/2015,2015,August,5,Monsoon,31.59,6.99,20.42,27.41,,9.23,7.9,0.72,168,Moderate
Ahmedabad,06/08/2015,2015,August,6,Monsoon,42.56,7.17,20.4,27.57,,6.28,9.86,1.36,172,Moderate
Ahmedabad,07/08/2015,2015,August,7,Monsoon,48.12,7.14,20.3,27.45,,6.77,12.78,1.22,173,Moderate
Ahmedabad,08/08/2015,2015,August,8,Monsoon,37.09,7.22,20.21,27.42,,8.66,7.94,0.86,175,Moderate
Ahmedabad,09/08/2015,2015,August,9,Monsoon,33.4,7.4,20.09,27.5,,9.95,8.39,0.8,179,Moderate
Ahmedabad,10/08/2015,2015,August,10,Monsoon,38.64,7.35,20.21,27.55,,9.74,6.28,1.31,174,Moderate
Ahmedabad,11/08/2015,2015,August,11,Monsoon,40.49,7.48,20.23,27.71,,8.92,21.51,1.17,176,Moderate
Ahmedabad,12/08/2015,2015,August,12,Monsoon,41.37,7.47,20.2,27.68,,11.73,19.8,1.82,179,Moderate
Ahmedabad,13/08/2015,2015,August,13,Monsoon,44.56,7.49,20.06,27.55,,11.23,22.77,1.38,175,Moderate
Ahmedabad,14/08/2015,2015,August,14,Monsoon,65.68,7.57,19.94,27.51,,8.21,30.21,3.62,177,Moderate
Ahmedabad,15/08/2015,2015,August,15,Monsoon,33.34,7.3,20.27,27.57,,6.41,32.95,0,175,Moderate
Ahmedabad,16/08/2015,2015,August,16,Monsoon,39.17,7.35,20.24,27.58,,9.17,26.64,0.79,174,Moderate
Ahmedabad,17/08/2015,2015,August,17,Monsoon,34,7.41,20.1,27.51,,9.64,17.17,1.21,179,Moderate
Ahmedabad,18/08/2015,2015,August,18,Monsoon,36.38,7.31,20.14,27.45,,10.65,13.35,2,177,Moderate
Ahmedabad,19/08/2015,2015,August,19,Monsoon,38.35,7.41,20.16,27.57,,9.33,18.59,1.63,180,Moderate
Ahmedabad,20/08/2015,2015,August,20,Monsoon,38.5,12.38,19.67,30.02,,10.37,16.33,1.56,274,Poor
Ahmedabad,21/08/2015,2015,August,21,Monsoon,39.61,17.31,14.84,32.15,,10.76,5.38,1.67,310,Very Poor
Ahmedabad,22/08/2015,2015,August,22,Monsoon,61.79,17.24,14.82,32.06,,12.39,8.06,0.91,303,Very Poor
Ahmedabad,23/08/2015,2015,August,23,Monsoon,43.22,17.17,14.82,31.99,,11.68,37.87,1.29,302,Very Poor
Ahmedabad,24/08/2015,2015,August,24,Monsoon,33.41,17.12,14.86,31.98,,12.96,,1.08,302,Very Poor
Ahmedabad,25/08/2015,2015,August,25,Monsoon,36.9,17.08,14.85,31.93,,4.73,54.01,0.91,302,Very Poor
Ahmedabad,26/08/2015,2015,August,26,Monsoon,36.36,17.11,14.79,31.9,,8.86,77.3,0,302,Very Poor
Ahmedabad,27/08/2015,2015,August,27,Monsoon,32.64,17.01,14.84,31.85,,7.05,62.31,0,302,Very Poor
Ahmedabad,28/08/2015,2015,August,28,Monsoon,38.23,17.07,14.89,31.96,,10.9,55.94,0,302,Very Poor
Ahmedabad,29/08/2015,2015,August,29,Monsoon,39.86,16.98,14.83,31.81,,10.02,,0,301,Very Poor
Ahmedabad,30/08/2015,2015,August,30,Monsoon,72.74,17.04,14.84,31.88,,4.23,,0,302,Very Poor
Ahmedabad,31/08/2015,2015,August,31,Monsoon,43.2,17.05,14.86,31.91,,5.96,59.99,0,302,Very Poor
Ahmedabad,01/09/2015,2015,September,1,Monsoon,63.2,17.03,14.82,31.85,,3.69,7.57,0,302,Very Poor
Ahmedabad,02/09/2015,2015,September,2,Monsoon,64.73,17.01,14.82,31.83,,6.45,12.13,0,302,Very Poor
Ahmedabad,03/09/2015,2015,September,3,Monsoon,65.28,17.04,14.85,31.89,,6.13,18.2,0,301,Very Poor
Ahmedabad,04/09/2015,2015,September,4,Monsoon,67.86,16.97,14.87,31.84,,8.87,16.53,0,302,Very Poor
Ahmedabad,05/09/2015,2015,September,5,Monsoon,52.4,16.97,14.81,31.78,,9.89,22.55,0,301,Very Poor
Ahmedabad,06/09/2015,2015,September,6,Monsoon,33.33,16.95,14.89,31.84,,6.88,33.58,0,302,Very Poor
Ahmedabad,07/09/2015,2015,September,7,Monsoon,29.52,16.94,14.88,31.82,,8.56,40.65,0,301,Very Poor
Ahmedabad,08/09/2015,2015,September,8,Monsoon,15.53,17,14.85,31.85,,15.13,34.18,0,301,Very Poor
Ahmedabad,10/09/2015,2015,September,10,Monsoon,50.24,9.46,12.31,21.77,,11.63,13.61,0,226,Poor
Ahmedabad,11/09/2015,2015,September,11,Monsoon,61.77,8.68,15.43,24.1,,8.1,18.69,0,276,Poor
Ahmedabad,12/09/2015,2015,September,12,Monsoon,46.93,7.14,11.47,18.61,,7.92,19.03,0,209,Poor
Ahmedabad,13/09/2015,2015,September,13,Monsoon,43.01,6.82,9.96,16.78,,11.58,20.59,0,179,Moderate
Ahmedabad,14/09/2015,2015,September,14,Monsoon,42.06,8.43,11.35,19.78,,11.63,28.09,0,197,Moderate
Ahmedabad,15/09/2015,2015,September,15,Monsoon,44.94,7.14,10.94,18.07,,5.85,59.38,0,229,Poor
Ahmedabad,16/09/2015,2015,September,16,Monsoon,29.58,6.61,9.94,16.55,,8.82,42.9,0,170,Moderate
Ahmedabad,17/09/2015,2015,September,17,Monsoon,32.15,6.5,9.7,16.2,,9.2,39.02,0,164,Moderate
Ahmedabad,18/09/2015,2015,September,18,Monsoon,36.33,7.68,12.88,20.56,,8.28,43.35,0,195,Moderate
Ahmedabad,19/09/2015,2015,September,19,Monsoon,24.46,8.45,10.99,19.44,,12.59,44.55,0,220,Poor
Ahmedabad,22/09/2015,2015,September,22,Monsoon,59.29,9.21,9.68,18.89,,5.98,7.69,0,217,Poor
Ahmedabad,23/09/2015,2015,September,23,Monsoon,65.32,10.61,9.62,20.23,,3.69,4.74,0,254,Poor
Ahmedabad,24/09/2015,2015,September,24,Monsoon,47.39,9.26,10.48,19.74,,7.72,7.71,0,241,Poor
Ahmedabad,25/09/2015,2015,September,25,Monsoon,43.88,8.69,19.75,28.44,,4.83,11.53,0,244,Poor
Ahmedabad,26/09/2015,2015,September,26,Monsoon,28.35,9.05,13.62,22.68,,7.47,15.95,0,243,Poor
Ahmedabad,27/09/2015,2015,September,27,Monsoon,3.59,11.26,14.17,25.44,,9.6,20.38,0,244,Poor
Ahmedabad,28/09/2015,2015,September,28,Monsoon,3.04,16.31,21.5,37.81,,13.73,30.05,0.02,327,Very Poor
Ahmedabad,29/09/2015,2015,September,29,Monsoon,19.14,10.33,30.6,40.93,,10.96,29.36,0,390,Very Poor
Ahmedabad,30/09/2015,2015,September,30,Monsoon,69.12,8.85,32.41,41.26,,15.63,28.45,0,231,Poor
